,president,vice-president,prime-minister,governors,deputy prime minister,chief minister,chief justice,speaker,bharat ratna,sc_judges,businessmen,election commissioners,attorney generals,defence minister,education ministers,external affairs ministers,finance minister,home ministers,law & justice minister,railway minister,road and highways ministers,lok sabha members
149,,,,,,,,,,,,,,,,,,,,,,sudarshan bhagat
150,,,,,,,,,,,,,,,,,,,,,,vishnu dayal ram
151,,,,,,,,,,,,,,,,,,,,,,jayant sinha
152,,,,,,,,,,,,,,,,,,,,,,annasaheb jolle
153,,,,,,,,,,,,,,,,,,,,,,suresh angadi [4]
154,,,,,,,,,,,,,,,,,,,,,,mangala suresh angadi 
155,,,,,,,,,,,,,,,,,,,,,,p. c. gaddigoudar
156,,,,,,,,,,,,,,,,,,,,,,ramesh jigajinagi
157,,,,,,,,,,,,,,,,,,,,,,umesh. g. jadhav
158,,,,,,,,,,,,,,,,,,,,,,raja amareshwara naik
159,,,,,,,,,,,,,,,,,,,,,,bhagwanth khuba
160,,,,,,,,,,,,,,,,,,,,,,karadi sanganna amarappa
161,,,,,,,,,,,,,,,,,,,,,,devendrappa
162,,,,,,,,,,,,,,,,,,,,,,shivkumar chanabasappa udasi
163,,,,,,,,,,,,,,,,,,,,,,pralhad joshi
164,,,,,,,,,,,,,,,,,,,,,,anant kumar hegde
165,,,,,,,,,,,,,,,,,,,,,,g. m. siddeshwara
166,,,,,,,,,,,,,,,,,,,,,,b. y. raghavendra
167,,,,,,,,,,,,,,,,,,,,,,shobha karandlaje
168,,,,,,,,,,,,,,,,,,,,,,prajwal revanna
169,,,,,,,,,,,,,,,,,,,,,,nalin kumar kateel
170,,,,,,,,,,,,,,,,,,,,,,a. narayanaswamy
171,,,,,,,,,,,,,,,,,,,,,,g. s. basavaraj
172,,,,,,,,,,,,,,,,,,,,,,sumalatha ambareesh
173,,,,,,,,,,,,,,,,,,,,,,pratap simha
174,,,,,,,,,,,,,,,,,,,,,,srinivasa prasad
175,,,,,,,,,,,,,,,,,,,,,,d. k. suresh
176,,,,,,,,,,,,,,,,,,,,,,d. v. sadananda gowda
177,,,,,,,,,,,,,,,,,,,,,,p. c. mohan
178,,,,,,,,,,,,,,,,,,,,,,tejasvi surya
179,,,,,,,,,,,,,,,,,,,,,,b. n. bache gowda
180,,,,,,,,,,,,,,,,,,,,,,s. muniswamy
181,,,,,,,,,,,,,,,,,,,,,,rajmohan unnithan
182,,,,,,,,,,,,,,,,,,,,,,k. sudhakaran
183,,,,,,,,,,,,,,,,,,,,,,k. muraleedharan
184,,,,,,,,,,,,,,,,,,,,,,rahul gandhi
185,,,,,,,,,,,,,,,,,,,,,,m. k. raghavan
186,,,,,,,,,,,,,,,,,,,,,,p. k. kunhalikutty 
187,,,,,,,,,,,,,,,,,,,,,,m. p. abdussamad samadani 
188,,,,,,,,,,,,,,,,,,,,,,e. t. mohammed basheer
189,,,,,,,,,,,,,,,,,,,,,,v. k. sreekandan
190,,,,,,,,,,,,,,,,,,,,,,ramya haridas
191,,,,,,,,,,,,,,,,,,,,,,t. n. prathapan
192,,,,,,,,,,,,,,,,,,,,,,benny behanan
193,,,,,,,,,,,,,,,,,,,,,,hibi eden
194,,,,,,,,,,,,,,,,,,,,,,dean kuriakose
195,,,,,,,,,,,,,,,,,,,,,,thomas chazhikadan
196,,,,,,,,,,,,,,,,,,,,,,a. m. ariff
197,,,,,,,,,,,,,,,,,,,,,,kodikunnil suresh
198,,,,,,,,,,,,,,,,,,,,,,anto antony
199,,,,,,,,,,,,,,,,,,,,,,n. k. premachandran
200,,,,,,,,,,,,,,,,,,,,,,adoor prakash
201,,,,,,,,,,,,,,,,,,,,,,shashi tharoor
202,,,,,,,,,,,,,,,,,,,,,,narendra singh tomar
203,,,,,,,,,,,,,,,,,,,,,,sandhya ray
204,,,,,,,,,,,,,,,,,,,,,,vivek shejwalkar
205,,,,,,,,,,,,,,,,,,,,,,krishna pal singh yadav
206,,,,,,,,,,,,,,,,,,,,,,raj bahadur singh
207,,,,,,,,,,,,,,,,,,,,,,virendra kumar
208,,,,,,,,,,,,,,,,,,,,,,prahlad singh patel
209,,,,,,,,,,,,,,,,,,,,,,v. d. sharma
210,,,,,,,,,,,,,,,,,,,,,,ganesh singh
211,,,,,,,,,,,,,,,,,,,,,,janardan mishra
212,,,,,,,,,,,,,,,,,,,,,,riti pathak
213,,,,,,,,,,,,,,,,,,,,,,himadri singh
214,,,,,,,,,,,,,,,,,,,,,,rakesh singh
215,,,,,,,,,,,,,,,,,,,,,,faggan singh kulaste
216,,,,,,,,,,,,,,,,,,,,,,dhal singh bisen
217,,,,,,,,,,,,,,,,,,,,,,nakul nath
218,,,,,,,,,,,,,,,,,,,,,,uday pratap singh
219,,,,,,,,,,,,,,,,,,,,,,ramakant bhargava
220,,,,,,,,,,,,,,,,,,,,,,pragya thakur
221,,,,,,,,,,,,,,,,,,,,,,rodmal nagar
222,,,,,,,,,,,,,,,,,,,,,,mahendra solanki
223,,,,,,,,,,,,,,,,,,,,,,anil firojiya
224,,,,,,,,,,,,,,,,,,,,,,sudheer gupta
225,,,,,,,,,,,,,,,,,,,,,,guman singh damor
226,,,,,,,,,,,,,,,,,,,,,,chattar singh darbar
227,,,,,,,,,,,,,,,,,,,,,,shankar lalwani
228,,,,,,,,,,,,,,,,,,,,,,gajendra patel
229,,,,,,,,,,,,,,,,,,,,,,nandkumar singh chauhan [5]
230,,,,,,,,,,,,,,,,,,,,,,gyaneswar patil 
231,,,,,,,,,,,,,,,,,,,,,,durga das uikey
232,,,,,,,,,,,,,,,,,,,,,,heena gavit
233,,,,,,,,,,,,,,,,,,,,,,subhash bhamre
234,,,,,,,,,,,,,,,,,,,,,,unmesh patil
235,,,,,,,,,,,,,,,,,,,,,,raksha khadse
236,,,,,,,,,,,,,,,,,,,,,,prataprao ganpatrao jadhav
237,,,,,,,,,,,,,,,,,,,,,,sanjay shamrao dhotre
238,,,,,,,,,,,,,,,,,,,,,,navneet kaur rana
239,,,,,,,,,,,,,,,,,,,,,,ramdas tadas
240,,,,,,,,,,,,,,,,,,,,,,krupal tumane
241,,,,,,,,,,,,,,,,,,,,,,nitin gadkari
242,,,,,,,,,,,,,,,,,,,,,,sunil baburao mendhe
243,,,,,,,,,,,,,,,,,,,,,,ashok nete
244,,,,,,,,,,,,,,,,,,,,,,suresh dhanorkar
245,,,,,,,,,,,,,,,,,,,,,,bhavana gawali
246,,,,,,,,,,,,,,,,,,,,,,hemant patil
247,,,,,,,,,,,,,,,,,,,,,,prataprao govindrao chikhalikar
248,,,,,,,,,,,,,,,,,,,,,,sanjay haribhau jadhav
249,,,,,,,,,,,,,,,,,,,,,,raosaheb danve
